

Abhyanga





   
   Abhyanga 



Chikitsaa Karma,Abhyanga
Arha Vyaadhi,Vaatavyaadhi --) Apataanaka
Arha Vyaadhi,Vaatavyaadhi --) Apataanaka --) Niraamaavasthaa
Arha Vyaadhi,Vaatavyaadhi --) Ardita
Arha Vyaadhi,Vaatavyaadhi --) Asthigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Avabaahuka
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Adhonaabhigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Baahus`hosha
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Daarun`a
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Lalla Jihvaa
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Madhyagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Manda Chankraman`a
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Manda Medhas
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata --) Ksheen`a Majjaa
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata --) Ksheen`a Oja
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata --) Ksheen`a S`hukra
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Nirupastambhita Vaata --) Parvaasthigata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) S`hoola (Arti)
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Sandhirujaa
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Sankocha
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Skandhagraha
Arha Vyaadhi,Vaatavyaadhi --) Avasthaa --) Vihvala Gati
Arha Vyaadhi,Vaatavyaadhi --) Baadhirya
Arha Vyaadhi,Vaatavyaadhi --) Baahugata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Baahya Aayaama
Arha Vyaadhi,Vaatavyaadhi --) Ekaangavaata
Arha Vyaadhi,Vaatavyaadhi --) Gridhrasee
Arha Vyaadhi,Vaatavyaadhi --) Hanustambha
Arha Vyaadhi,Vaatavyaadhi --) Indriyagata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Jaanugata Vaata
Arha Vyaadhi,Vaatavyaadhi --) Kalaayakhanja
Arha Vyaadhi,Vaatavyaadhi --) Kampa
Arha Vyaadhi,Vaatavyaadhi --) Kampa --) Baahu Kampa
